Item ID	English	Swedish	French	Italian	German	Spanish	Russian	Romanian	Bulgarian	Macedonian	Finnish	Danish	Norwegian	Icelandic	Turkish	Lithuanian	Czech	Hungarian	Slovak	Polish	Dutch	Portuguese_European	Portuguese_Brazilian	Chinese	Japanese	Korean	Hindi	Thai	Abenaki	Croatian	Georgian	Greek	Serbian	Ukrainian
ObsidianGreatSwordHTD_Desc	The lamentable misery of the Mother of Dragons, cast in obsidian and made manifest in the breath of the mountains. Her bite can freeze the very souls of her foes.		L'affliction de Moder rendu tangible au travers d'une lame massive, conçue à partir d'obsidienne et insufflé du blizzard des montagnes. Ceux qui manient cette épé peuvent geler l'âme de ceux qu'ils frappent.		Mutters Kummer wurde durch Obsidian und den Hauch der Berge in einer massiven Klinge greifbar. Diejenigen, die dies ausüben, können die Seelen derer, die sie treffen, einfrieren.	El lamento de Moder se hizo tangible a través de una cuchilla hecha con la obsidiana y el frío aliento de la montaña. Se dice que su golpe puede congelar el alma de sus rivales al impacto.	В этом огромном обсидиановом мече ощущается дыхание гор и огромная скорбь Матери по ее детям. Его холод может заморозить даже самые сильные души.								Moder'in Kederi obsidiyen ve dağların nefesiyle somutlaştırıldı. Bunu kullananlar, vurdukları kişilerin ruhlarını dondurabilir.								A tristeza de Moder se tornou tangível em uma lâmina enorme através da obsidiana e a respiração das montanhas. Aqueles que o empunham podem congelar as próprias almas de quem eles atingem.	现代人的悲痛之大，透过黑曜石和山间的气息，变得有形。 那些使用它的人可以冻结他们击中的人的灵魂。	The lamentable misery of the Mother of Dragons, cast in obsidian and made manifest in the breath of the mountains. Her bite can freeze the very souls of her foes.	모더의 슬픔 그것의 위대함은 흑요석과 산의 숨결을 통해 구체화되었습니다. 이것을 다루는자는 상대의 영혼을 얼어붙게 할 수 있습니다.								
ObsidianGreatSwordRedHTD_Name	Moder's Rage		Le chagrin écarlate de Moder			Lamento de Moder Rojo	Кровавая скорбь Модера								Kızıl Moder'in Hüznü								Tristeza de Moder Avermelhada	红色莫德的悲伤	Moder's Rage	붉은 모더의 슬픔								
ObsidianGreatSwordRedHTD_Desc	The endless hatred of the Mother of Dragons, cast in obsidian and made manifest in the breath of the mountains. Her bite can freeze the very souls of her foes.		L'affliction et le tourment de Moder rendu tangible au travers d'une lame massive, conçue à partir d'obsidienne et insufflé du blizzard des montagnes. Ceux qui manient cette épé peuvent geler l'âme de ceux qu'ils frappent. Une étrange aura écarlate s'en dégage.			El lamento de Moder se hizo tangible a través de una cuchilla hecha con la obsidiana y el frío aliento de la montaña. Se dice que su golpe puede congelar el alma de sus rivales al impacto. Esta hoja brilla en rojo comparado con su forma base.	В этом огромном обсидиановом мече ощущается дыхание гор и огромная скорбь Матери по ее детям. Его холод может заморозить даже самые сильные души. Отдает красным оттенком.								Moder'in hüznü, obsidiyen ve dağların nefesi aracılığıyla devasa bir bıçakta somutlaştırıldı. Bunu kullananlar, vurduğu kişilerin ruhlarını dondurabilirler. Temel formuna kıyasla kırmızı renkte parlıyor.								A tristeza de Moder se tornou tangível em uma lâmina enorme através da obsidiana e a respiração das montanhas. Aqueles que o empunham podem congelar as próprias almas de quem eles atingem. Ela brilha em vermelho de sangue em comparação com sua forma de base.	莫德的悲伤通过黑曜石和山脉的呼吸在巨大的刀刃上变得有形。那些使用它的人可以融化他们击中人的灵魂。与其基本形态相比，它发出红色光。	The endless hatred of the Mother of Dragons, cast in obsidian and made manifest in the breath of the mountains. Her bite can freeze the very souls of her foes.	모데르의 슬픔은 흑요석과 산의 숨결을 통해 거대한 칼날에 실체를 드러냈습니다. 이것을 휘두르는 자들은 그들이 때린 자들의 영혼을 얼어붙게 할 수 있습니다. 이것은 기본 형태에 비해 빨간색으로 빛납니다.								
FlametalGreatSwordHTD_Name	Flametal Zweihander		Espadon en métal stéllaire		Flametall Großschwert	Gran espada de Flametal	Огненный длинный меч								Oddemir Büyük Kılıç						Vlammetaal Langzwaard		Grande Espada de Lumetal	烈焰巨剑	Flametal Greatsword Ather	이그나이트								
FlametalGreatSwordHTD_Desc	Crafted of flametal from the Ashlands, the fire dancing about its blade sizzles with an unnatural vigor. Cuts from this burn the body and scorch the soul alike.		Cette lame est fabriquée à partir d'un métal flamboyant des Terres de Feu. Les flammes dansent sur la lame et crépitent d'une vigueur surnaturelle. Ceux qui manient cet espadon peuvent bruler l'âme et le corps de ses ennemis.		Diese Klinge ist aus Flammental aus den Ashlands gefertigt, und die Flammen, die aus ihrer Klinge tanzen, zischen mit einer unnatürlichen Kraft. Schnitte damit würden Seele und Körper gleichermaßen versengen.	Esta hoja esta creada con un metal llameante de las Tierras de Ceniza. Las llamas danzan por la hoja mientras se elevan con una fuerza antinatural. Sus golpes quem el cuerpo y alma por igual.	Этот клинок изготовлен из огнеметалла добытого в пепельных землях, пламя танцующее на его лезвии, шипит неестественной силой. Порезы сделанные им, смогут опалить и душу, и тело.								Bu bıçak, Kül Toprakları'ndan gelen alev metalinden yapılmıştır, kılıcından çıkan alevler doğal olmayan bir güçle cızırdamaktadır. Bununla yapılan kesikler hem ruhu hem de bedeni kavurur.								Esta lâmina é feita de Lumetal das Ashlands, as chamas dançando de sua lâmina chiam com um vigor sobrenatural. Cortes com isso queimariam tanto a alma quanto o corpo.	这把刀刃由灰烬之地的火焰制成，刀刃上舞动的火焰带着不自然的活力发出嘶嘶声。 用这个切割会烧焦灵魂和身体。	Crafted of flametal from the Ashlands, the fire dancing about its blade sizzles with an unnatural vigor. Cuts from this burn the body and scorch the soul alike.	이그나이트의 검신안에서는 불꽃이 춤추고있으며 이는 상대의 영혼과 몸을 불태웁니다.								
DragonSlayerSwordHTD_Name	Dragon Slayer		Tueur de dragon		Dragon Slayer	Matadragones	Убийца Драконов								Ejderha Avcısı						Draken Doder		Matador de Dragões	屠龙者	Dragon Slayer	용 살해자								
DragonSlayerSwordHTD_Desc	It was too big to be called a sword. Massive, thick, heavy, and far too rough. Indeed, it was like a heap of raw iron. The blacksmith Godot forged this under orders to create something that could slay a dragon. It can be best described as a sharp maul, rather than a sword.   —In Memory of Kentarou Miura—		Bien trop grosse pour être considérée comme une simple épée. Massive, épaisse, lourde et très rugueuse, il ne s'agissait qu'à l'origine, d'un tas de fer brut. Le forgeron Godot l'a façonné de manière à créer de quoi tuer un dragon. Il s'agirait finalement plutôt d'une masse tranchante, qu'un espadon.		Es war zu groß, um als Schwert bezeichnet zu werden. Massiv, dick, schwer und viel zu rau. Tatsächlich war es ein Haufen Roheisen. Der Schmied Godot schmiedete dies unter dem Befehl, etwas zu schaffen, das einen Drachen töten könnte. "Es kann am besten als scharfes Hack und nicht als Schwert beschrieben werden. In Memory of Kentarou Miura, 11.07.1966 bis 06.05.2021 . Möge dein Andenken und dein Vermächtnis weiterleben."	Era demasiado grande para ser llamada espada. Enorme, gruesa, pesada y demasiado tosca, de hecho era un montón de metal en bruto. El herrero Godot forjó esto bajo las ordenes de crear algo que pudiera "Matar a un Dragón". Es mas fácil describirla como un mazo afilado que como una espada. (En memoria de Kentarou Miura, 11-07-1966 a 06-05-2021. Que tu memoria y tu legado sigan vivos.)	Он слишком огромен, чтобы называться мечем. Массивный, толстый, тяжелый и слишком грубый. Фактически, он был кучей сырого железа. Кузнец Годот выковал его по приказу создать нечто, что способно убить дракона. Лучше называть его острой булавой, чем мечом. В память о Кентаро Миюра, 11.07.1966 - 06.05.2021. Пусть память о тебе будет жить всегда.								Kılıç denilemeyecek kadar büyük. Devasa, kalın, ağır ve fazlasıyla kaba. Gerçekten de, bir ham demir yığını. Bir ejderhayı öldürebilecek bir şey yaratma fikri ile dövüldü.								Era muito grande para ser chamado de espada. Enorme, espesso, pesado e muito áspero. Na verdade, era um monte de ferro bruto. O ferreiro Godot forjou isso sob a ordem de criar algo que pudesse matar um dragão ". Pode ser melhor descrito como um maul afiado, em vez de uma espada. Em Memória de Kentarou Miura.	“它太大了，不能称为剑。又大又厚又重，而且太粗糙了。确实，它是一堆生铁。铁匠戈多为了制造可以“杀死龙”的东西而锻造了它 . 最好将它描述为一把锋利的槌子，而不是一把剑。纪念三浦健太郎，11-07-1966 至 06-05-2021。愿你的记忆和你的遗产永存。”	It was too big to be called a sword. Massive, thick, heavy, and far too rough. Indeed, it was like a heap of raw iron. The blacksmith Godot forged this under orders to create something that could slay a dragon. It can be best described as a sharp maul, rather than a sword.   —In Memory of Kentarou Miura—	이 거대한 검신은 용의 목을 베어내기에 적합합니다.								
BoneGreatSwordHTD_Name	Undying Devotion		Corps des dévoués		Körper des Ergebenen	Cuerpo del Devoto	Тело преданных								Adanmışların Bedeni						Lichaam van de Toegewijde		Devoto dos Corpos	虔诚者的身体	Undying Devotion	헌신의 몸								
BoneGreatSwordHTD_Desc	A macabre weapon formed from the twisted bones of those devoted to the dark art of necromancy. They now live forever after sacrificing their own bodies to reach that eternal state of undying they worshipped so intently. Virtually indestructible, its wielder saps energy from the foes it has slain, much like a lich.		Les os tordus de ceux qui se consacrent à l'idéologie de l'Immortel. Sacrifiant leur propre corps pour créer cette arme, afin d'atteindre l'état d'immortalité qu'ils vénéraient si intensément. Elle semble être indestructible, guérissant même lentement son porteur.		Die verdrehten Knochen derer, die sich der Ideologie der Unsterblichen verschrieben haben und ihre eigenen Körper opferten, um diese Waffe zu erschaffen, um den Zustand der Unsterblichkeit zu erreichen, den sie so intensiv verehrten. Es scheint unzerstörbar zu sein und heilt den Träger sogar langsam.	Los huesos retorcidos de los devotos a la ideología de la Inmortalidad. Sacrificando sus propios cuerpos, los devotos crearon esta arma para alcanzar el estado de inmortalidad que tanto anhelaban. Parece ser indestructible, incluso curando al portador lentamente.	Искореженные кости тех, кто предан идеологии бессмертия, жертвуя своими телами, чтобы создать это оружие и достичь состояния бессмертия, к которому они так усердно стремились. Он кажется неразрушимым и даже медленно исцелет владельца.								Ölümsüzler ideolojisine gönül verenlerin, bu silahı yaratmak için kendi bedenlerini feda edenlerin, bu kadar içtenlikle taptıkları ölümsüzlük durumuna ulaşmak için bükülmüş kemikleri. Yok edilemez gibi görünüyor, hatta sahibini yavaş yavaş iyileştiriyor.								Os ossos retorcidos daqueles devotados à ideologia dos Imortais, sacrificando seus próprios corpos para criar essa arma a fim de alcançar o estado de imortalidade que eles adoravam tão intensamente. Parece ser indestrutível, mesmo curando o portador lentamente.	那些致力于不朽意识的邪恶骷髅，牺牲自己的意识形态来制造这种武器，以达到他们唯一崇拜的不朽状态。它似乎是坚不可摧的，甚至慢慢地治愈持用者。	A macabre weapon formed from the twisted bones of those devoted to the dark art of necromancy. They now live forever after sacrificing their own bodies to reach that eternal state of undying they worshipped so intently. Virtually indestructible, its wielder saps energy from the foes it has slain, much like a lich.	뒤틀린 뼈는 그들이 열렬히 숭배했던 불멸의 상태에 도달하기 위해 이 무기를 만들기 위해 그들 자신의 몸을 희생하는 것이다. 장착 치유 효과								
BlackMetalGreatSwordAltHTD_Name	Black Metal Flamberge		Espadon exotique en sombracier		Exotisches Schwarzmetall-Großschwert	Gran espada de Metal Oscuro	Чужеземный меч из черного металла								Karametal Büyük Kılıç Yabancı						Exotisch Zwart Metaal Langzwaard		Grande Espada Exótica de Metal Negro	奇异的的黑金巨剑	Black Metal Flamberge	엑소틱 흑철 대검								
BlackMetalGreatSwordAltHTD_Desc	A wavy great sword of death. The design is foreign, but quite effective. Its blade shines a lustrous green.		Espadon ondulée. La conception est peu commune mais plutôt efficace. Sa lame luit d'un bel éclat vert.		Ein gewelltes großes Todesschwert, das Design ist fremd, aber sehr effektiv.	Una espada ondulada de la muerte, su diseño es un poco extraño pero efectivo. La hoja brilla con un verde inteso.	Двуручный меч с необычным волнистым лезвием, дизайн которого кажется не местным, но все равно является эффективным против врагов.								Dalgalı büyük bir ölüm kılıcı, tasarım yabancı ama oldukça etkili.								Uma grande espada de forma ondulante, a forma é estranha, mas bastante eficaz e mortal.	这是一把波浪形的死亡之剑，设计别具一格，但相当有效。	A wavy great sword of death. The design is foreign, but quite effective. Its blade shines a lustrous green.	물결치는 죽음의 대검인 그 디자인은 이국적이지만 꽤 효과적이다. 그 칼날은 초록색으로 빛나 아름다운 빛을 낸다.								
DeerFistsHTD_Name	Buck & Doe		Cerf et Biche		Buck 'n Doe	Buck and Doe	Кастет из рогов Эйктюра								Antilop ve Karaca						Bok en Hinde		Buck e Doe	Buck 和 Doe	Buck & Doe	벅 엔 도								
DeerFistsHTD_Desc	Leather knuckle wraps with Eikthyr's antlers strapped to the right hand. Named in honour of the kin of the god of the forest; Buck for the right hand and Doe for the left. Their unsual power grants the wielder the swiftness of the forest's denizens.		Un ensemble de gantelets fixé avec des bois d'Eikthyr et attachés par des pièces de cuir à la main droite. Lorsqu'elles sont équipées dans les deux mains, elles portent ainsi le nom de Cerf et Biche. Elle semble être habité d'un pouvoir inhabituel.		Knöchelbandagen aus Leder mit Eikthyr-Geweih an der rechten Hand, die den Namen Buck 'n Doe für die rechte und linke Bandage tragen. Es scheint eine ungewöhnliche Kraft zu haben.	Nudillos de cuero unidos a las astas de Eikthyr atadas a la mano derecha, con el nombre de Buck and Doe en referencia a cada mano, parece tener un poder inusual.	Кожаные перчатки с рогами, привязанными к правой руке, из-за чего называются Олень и Олениха. Кажется, они обладают необычной силой.								Sağ ele sarılı Eikthyr boynuzları ile deri mafsal sargıları, sağ ve sol sargılardan dolayı Antilop ve Karaca adını alır. Alışılmadık bir güce sahip gibi görünüyor.								Punhos de couro com chifres de Eikthyr amarrados à mão direita, dando o nome de Buck e Doe para os punhos direito e esquerdo. Parece ter um poder incomum.	皮革绑在右手指关节上包裹着Eikthyr的鹿角，浮现出Buck和Doe的名字。它似乎有一种不同寻常的力量。	Leather knuckle wraps with Eikthyr's antlers strapped to the right hand. Named in honour of the kin of the god of the forest; Buck for the right hand and Doe for the left. Their unsual power grants the wielder the swiftness of the forest's denizens.	가죽 손가락 마디가 에이크티르의 뿔로 오른손에 감겨 오른쪽과 왼쪽을 감쌀 때 벅과 도라는 이름을 붙인다. 그것은 특이한 힘을 가지고 있는 것 같다.								
BronzeFistsHTD_Name	Bronze Knuckles		Griffe en bronze		Bronzeknöchel	Nudillos de Bronce	Бронзовый кастет								Bronz Muşta						Bronzen Knokkels		Manoplas de Bronze	青铜手套	Bronze Knuckles	청동 불주먹								
BronzeFistsHTD_Desc	A set of knuckle wraps fixed with bronze that not only protect the user's hands, but also inflict more damage with each strike.		Un ensemble de gantelets fixés avec du bronze. Protège les mains de l'utilisateur, mais permet également d'infliger plus de dégâts à ses ennemis.		Ein Set mit bronzenen Panzerhandschuhen, die nicht nur die Hände des Benutzers schützen, sondern auch den getroffenen Personen mehr Schaden zufügen.	Un conjunto de guantes fijados con bronce que no solo sirven para proteger las manos del portador, sino también para inflingir más daño a quienes golpea.	Набор перчаток, с прикрепленной бронзой, чтобы не только защитить руки пользователя, но и помочь нанести больший урон тем, кого они поражают.								Sadece kullanıcının ellerini korumakla kalmayıp aynı zamanda vurduğu kişilere daha fazla hasar vermesine yardımcı olmak için bronzla sabitlenmiş bir dizi eldiven.								Um conjunto de manoplas fixadas com bronze para não apenas proteger as mãos do usuário, mas também para ajudar a infligir mais danos àqueles que atingirem.	一副用青铜制作的护手套，不仅可以保护你的双手，还可以帮助你击败敌人。	A set of knuckle wraps fixed with bronze that not only protect the user's hands, but also inflict more damage with each strike.	성사동 수연이 주먹								
IronFistsHTD_Name	Iron Knuckles		Griffe en fer		Eiserne Knöchel	Nudillos de Hierro	Железный кастет								Demir Muşta						Ijzeren Knokkels		Manoplas de Ferro	铁手套	Iron Knuckles	철 얼음주먹								
IronFistsHTD_Desc	A sturdy set of gauntlets studded with iron plates, granting great weight and force to each swing. Inflicts heavy damage with each strike.		Un ensemble de gantelets fixé avec du fer. Protège les mains de l'utilisateur, mais permet également d'infliger plus de dégâts à ses ennemis.		Ein Satz mit Eisen befestigter Stulpen, die nicht nur die Hände des Benutzers schützen, sondern auch den getroffenen Personen mehr Schaden zufügen.	Un conjunto de guantes fijados con hierro que no solo sirven para proteger las manos del portador, sino también para inflingir más daño a quienes golpea.	Набор перчаток, с прикрепленным железом, чтобы не только защитить руки пользователя, но и помочь нанести больший урон тем, кого они поражают.								Sadece kullanıcının ellerini korumakla kalmayıp aynı zamanda vurduğu kişilere daha fazla hasar vermesine yardımcı olmak için demirle sabitlenmiş bir dizi eldiven.								Um conjunto de manoplas fixadas com ferro não apenas para proteger as mãos do usuário, mas também para ajudar a infligir mais danos àqueles que atingirem.	一副用铁制作的护手套，不仅可以保护你的双手，还可以帮助你击败敌人。	A sturdy set of gauntlets studded with iron plates, granting great weight and force to each swing. Inflicts heavy damage with each strike.	성사동 대성이 주먹								
SilverFistsHTD_Name	Silver Claws		Griffe en argent			Colmillos de Plata	Серебряные когти								Gümüş Pençeler								Garras de Prata		Silver Claws									
SilverFistsHTD_Desc	A pair of iron gauntlets, padded with wolf hide and bristling with a set of glistening silver blades. Shreds apart flesh, living or dead alike.		Un ensemble de gantelets fixés avec de l'argent. Protège les mains de l'utilisateur, mais permet également d'infliger plus de dégâts à ses ennemis.			Un par de guantes de lobo con hojas dobles hechas de plata. Excelentes para triturar carne, viva o no-muerta.	Пара перчаток в виде лап волка с серебряными лезвиями, прекрасно подходит для разрезания плоти, живой или мертвой								Canlı veya ölümsüz, eti parçalamak için harika, çift gümüş bıçaklı bir demir kurt eldiveni.								Um par de manoplas de lobo de ferro com lâminas duplas prateadas, ótimas para retalhar carne, viva ou morta-viva.		A pair of iron gauntlets, padded with wolf hide and bristling with a set of glistening silver blades. Shreds apart flesh, living or dead alike.									
BronzeCrowbillHTD_Name	Bronze Crowbill		Bec-de-pie			Bec de Corbin de Bronce	Бронзовый вороний клюв								Bronz Karga Gagası								Machadinha Multi Tarefas de Bronze		Bronze Crowbill									
BronzeCrowbillHTD_Desc	A clever fusion of hammer and pick, to pummel and pierce with equal ease.		L'assemblage d'un marteau et d'une pioche. Ce marteau-piolet en bronze peut être utilisé pour percer ou frapper des cibles.			Una fusión de un martillo y un pico, puede ser usado para atravesar o golpear objetivos.	Смесь молота и кирки, которую можно использовать для пробития или оглушения врагов.								Çekiç ve kazma karışımı olan bu bronz karga gagası, hedefleri delmek ve onlara vurmak için kullanılabilir.								Uma mistura de um martelo e uma picareta,está ferramenta de bronze pode ser usado para perfurar, esmagar e cortas alvos.		A clever fusion of hammer and pick, to pummel and pierce with equal ease.									
BronzeGreatSwordHTD_Name	Bronze Khopesh		Espadon en bronze			Gran espada de Bronce	Бронзовый длинный меч								Bronz Büyük Kılıç								Khopesh de Bronze		Bronze Khopesh	청동 대검								
BronzeGreatSwordHTD_Desc	A greatsword with a uniquely curved blade, inspired by the weapons of warriors from an extremely arid land.		Une épée à deux mains d'une conception unique, dont on dit qu'elle s'inspire des épées de guerriers d'une terre extrêmement aride.			Un espadón con diseño único, se dice que está inspirada en las espadas de los guerreros provenientes de tierras extremandamente áridas.	Длинный меч с уникальным дизайном, воодушевленный мечами войнов из чрезвычайно засушливых регионов.								Son derece kurak bir ülkeden gelen savaşçıların kılıçlarından ilham aldığı söylenen, benzersiz bir şekilde tasarlanmış harika bir kılıç.								Uma espada larga com um design único, que se diz ter sido inspirada nas espadas dos guerreiros de uma terra extremamente árida.		A greatsword with a uniquely curved blade, inspired by the weapons of warriors from an extremely arid land.									
BronzeBattleaxeHTD_Name	Bronze Battleaxe		Hache de guerre en bronze			Hacha de guerra de Bronce	Бронзовая секира								Bronz Savaş Baltası								Machado de Batalha de Bronze		Bronze Battleaxe Ather	청동 전투도끼								
BronzeBattleaxeHTD_Desc	A hefty battleaxe with a head of burnished bronze. Makes light work of felling foes or forests.		Une hache de combat en bronze. Idéale pour fendre des groupes d'ennemis. Peut être utilisé pour couper du bois en un rien de temps.			Un hacha de guerra de bronce, buena para limpiar grupos de enemigos enteros. Puede usarse para cortar madera en un parpadeo.	Бронзовый двуручный топор, который идеально подходит для рубки полчищ врагов. В крайнем случае можно использовать для колки дров.								Düşman gruplarını parçalamak için harika bir bronz savaş baltası. Bir tutam odun kesmek için de kullanılabilir.								Um machado de batalha de bronze, ótimo para dividir grupos de inimigos. Pode ser usado para cortar lenha.		A hefty battleaxe with a head of burnished bronze. Makes light work of felling foes or forests.									
BronzeHammerHTD_Name	Bronze Sledge		Luge en bronze			Almádena de Bronce	Бронзовый молот								Bronz Balyoz								Marreta de Bronze		Bronze Sledge Ather	청동 해머								
BronzeHammerHTD_Desc	A massive heap of blunt bronze on a stick. Its weight alone yields crushing force.		Un gros morceau de bronze avec lequel il sera bon d'arpenter les sommets enneigés.			Un gran trozo de bronce que es muy bueno para aporrear cosas.	Большой кусок бронзы, которым очень удобно колотить различне вещи.								Bir şeyleri ezmek için harika bir büyük bronz balyoz.								Um grande pedaço de bronze que será ótimo esmagar ossos e outras coisas.		A massive heap of blunt bronze on a stick. Its weight alone yields crushing force.									
ArmorHelmetBoarHTD_Name	Boar Berserker Headdress																																	
ArmorHelmetBoarHTD_Desc	The severed head of a great boar, worn as a headdress.																																	
ArmorChestBoarHTD_Name	Boar Berserker Chest																																	
ArmorChestBoarHTD_Desc	A leather armband with tusks secured to it along with a leather shoulder guard also adorned with tusks.																																	
ArmorLegsBoarHTD_Name	Boar Berserker Skirt																																	
ArmorLegsBoarHTD_Desc	A thick skirt made with leather paired with form fitting leather boots.																																	
ArmorShoulderBoarHTD_Name	Boar Berserker Scarf																																	
ArmorShoulderBoarHTD_Desc	Two pieces of leather make up this scarf, secured together with a pin made from a boar tusk.																																	
